SectionID,Cluster,Latitude,Longitude
1483,0.0,35.688685,-97.315375
442,0.0,35.688685,-97.315375
903,0.0,36.686556,-97.083902
1330,0.0,35.332302,-97.329193
1577,1.0,35.3,-94.43031
1023,2.0,35.757305,-95.287697
1559,0.0,34.185779,-97.241384
274,0.0,36.330853,-97.789524
416,0.0,35.509884,-97.564282
416,0.0,35.528437,-97.537398
959,0.0,35.47128,-97.527319
408,0.0,35.551585,-97.668163
1035,0.0,35.551585,-97.668163
1598,0.0,35.551585,-97.668163
1361,0.0,35.551585,-97.668163
1476,0.0,35.551585,-97.668163
1330,0.0,35.332302,-97.329193
223,0.0,35.332302,-97.329193
811,0.0,35.332302,-97.329193
810,0.0,35.332302,-97.329193
1608,1.0,35.3,-94.43031
1631,1.0,35.3,-94.43031
1059,1.0,35.3,-94.43031
1060,1.0,35.3,-94.43031
1577,1.0,35.3,-94.43031
244,1.0,35.3,-94.43031
1624,1.0,35.3,-94.43031
1386,1.0,35.3,-94.43031
1625,1.0,35.3,-94.43031
1626,1.0,35.3,-94.43031
295,0.0,35.512135,-97.184753
1225,0.0,35.512135,-97.184753
854,0.0,35.512135,-97.184753
1172,0.0,35.512135,-97.184753
469,0.0,35.512135,-97.184753
773,0.0,35.512135,-97.184753
990,0.0,35.512135,-97.184753
720,0.0,35.512135,-97.184753
1114,0.0,35.512135,-97.184753
1115,0.0,35.512135,-97.184753
997,0.0,35.512135,-97.184753
1116,0.0,35.512135,-97.184753
959,0.0,35.479347,-97.598744
1676,2.0,35.763556,-95.295769
613,0.0,35.46857,-97.675627
1598,0.0,35.46857,-97.675627
1483,0.0,35.63643,-97.64549
1502,0.0,35.63643,-97.64549
1249,0.0,35.63643,-97.64549
1498,0.0,35.63643,-97.64549
1476,0.0,35.63643,-97.64549
1362,0.0,35.63643,-97.64549
824,0.0,35.63643,-97.64549
1524,0.0,35.63643,-97.64549
804,0.0,35.63643,-97.64549
1080,0.0,35.63643,-97.64549
1375,0.0,36.332593,-99.485424
1363,0.0,35.589922,-97.586201
314,0.0,36.448162,-97.056015
562,0.0,36.448162,-97.056015
1722,0.0,36.448162,-97.056015
874,0.0,36.448162,-97.056015
873,0.0,36.448162,-97.056015
131,0.0,36.448162,-97.056015
535,0.0,36.448162,-97.056015
259,0.0,36.448162,-97.056015
275,0.0,36.448162,-97.056015
959,0.0,35.500842,-97.531323
1605,0.0,36.330853,-97.789524
1721,0.0,36.330853,-97.789524
1348,0.0,36.330853,-97.789524
350,0.0,36.330853,-97.789524
832,0.0,36.330853,-97.789524
54,0.0,36.330853,-97.789524
1512,0.0,36.330853,-97.789524
1091,0.0,36.330853,-97.789524
1327,0.0,35.511765,-97.792305
1328,0.0,35.511765,-97.792305
1330,0.0,35.511765,-97.792305
1356,0.0,35.511765,-97.792305
1502,0.0,35.511765,-97.792305
1500,0.0,35.511765,-97.792305
1579,0.0,35.511765,-97.792305
408,0.0,35.511765,-97.792305
886,0.0,35.511765,-97.792305
1338,0.0,35.511765,-97.792305
589,0.0,35.511765,-97.792305
613,0.0,35.511765,-97.792305
1383,0.0,34.965866,-96.732353
139,0.0,34.965866,-96.732353
442,0.0,34.965866,-96.732353
228,0.0,34.965866,-96.732353
774,0.0,34.965866,-96.732353
443,0.0,34.965866,-96.732353
624,0.0,34.965866,-96.732353
467,0.0,34.965866,-96.732353
223,0.0,34.965866,-96.732353
811,0.0,34.965866,-96.732353
810,0.0,34.965866,-96.732353
835,0.0,34.965866,-96.732353
402,0.0,34.965866,-96.732353
768,0.0,34.965866,-96.732353
775,0.0,34.965866,-96.732353
493,2.0,35.757305,-95.287697
244,2.0,35.757305,-95.287697
975,2.0,35.757305,-95.287697
1023,2.0,35.757305,-95.287697
1377,2.0,35.757305,-95.287697
860,2.0,35.757305,-95.287697
862,2.0,35.757305,-95.287697
863,2.0,35.757305,-95.287697
1620,0.0,36.311989,-99.367958
1400,0.0,36.311989,-99.367958
1375,0.0,36.311989,-99.367958
970,2.0,35.716451,-95.468915
918,0.0,36.375125,-99.369939
918,0.0,36.641876,-99.61061
876,0.0,36.371235,-97.874743
1017,0.0,35.68676,-97.226933
687,0.0,35.68676,-97.226933
693,0.0,35.68676,-97.226933
715,0.0,35.68676,-97.226933
716,0.0,35.68676,-97.226933
1356,0.0,35.301889,-98.027222
1322,0.0,35.301889,-98.027222
1211,0.0,35.301889,-98.027222
1223,0.0,35.70778,-96.86111
1580,0.0,35.70778,-96.86111
1578,0.0,35.46857,-97.675627
218,0.0,35.46857,-97.675627
443,0.0,34.770376,-96.70694
53,0.0,35.385,-97.549
1413,0.0,35.46857,-97.675627
1178,0.0,36.311989,-99.367958
1393,0.0,36.311989,-99.367958
1488,0.0,34.1152,-97.142321
1045,0.0,35.385192,-97.548822
1229,0.0,34.303889,-96.780278
1230,0.0,34.303889,-96.780278
1228,0.0,34.303889,-96.780278
1226,0.0,34.303889,-96.780278
1536,0.0,34.303889,-96.780278
1619,0.0,35.931114,-98.753586
1620,0.0,35.931114,-98.753586
1617,0.0,35.931114,-98.753586
1617,0.0,36.074808,-98.759756
1173,0.0,36.12511,-98.920423
1533,0.0,36.12511,-98.920423
935,0.0,36.12511,-98.920423
1180,0.0,36.12511,-98.920423
1226,0.0,34.185779,-97.241384
1180,0.0,36.311989,-99.367958
606,0.0,36.686556,-97.083902
579,0.0,34.185779,-97.241384
1454,0.0,34.185779,-97.241384
79,0.0,34.185779,-97.241384
1298,0.0,34.185779,-97.241384
1046,0.0,35.385192,-97.548822
1006,0.0,35.59562,-97.536497
1214,0.0,35.595701,-97.505117
1172,0.0,35.595701,-97.505117
174,0.0,35.595701,-97.505117
1006,0.0,35.595701,-97.505117
1214,0.0,35.50469,-97.492051
1215,0.0,35.50469,-97.492051
998,0.0,35.385192,-97.548822
903,0.0,36.686556,-97.083902
1739,0.0,35.115278,-98.28
1322,0.0,35.115278,-98.28
1325,0.0,35.115278,-98.28
1228,0.0,34.187323,-96.792279
365,0.0,34.187323,-96.792279
1488,0.0,34.187323,-96.792279
1249,0.0,35.742944,-97.653582
562,0.0,35.742944,-97.653582
1506,0.0,34.195091,-97.101069
174,0.0,35.544878,-97.593006
1045,0.0,35.334981,-97.517114
1053,0.0,35.544878,-97.593006
1346,0.0,36.574444,-97.681944
1433,0.0,36.574444,-97.681944
1348,0.0,36.574444,-97.681944
1324,0.0,35.115278,-98.28
1326,0.0,35.115278,-98.28
1369,0.0,36.81861,-97.40861
1497,0.0,35.511765,-97.792305
1299,0.0,34.185779,-97.241384
1488,0.0,34.179255,-97.089511
1371,0.0,36.81861,-97.40861
1467,0.0,36.81861,-97.40861
1351,0.0,35.94889,-96.64167
1396,0.0,35.94889,-96.64167
1590,0.0,35.94889,-96.64167
1350,0.0,35.94889,-96.64167
1352,0.0,35.94889,-96.64167
1506,0.0,34.182288,-97.173698
988,0.0,34.808629,-97.214058
402,0.0,34.808629,-97.214058
357,0.0,34.808629,-97.214058
1569,0.0,34.00787,-96.395532
1571,0.0,34.00787,-96.395532
1339,1.0,35.428611,-94.388333
1387,1.0,35.428611,-94.388333
1341,1.0,35.428611,-94.388333
1294,0.0,36.448162,-97.056015
1484,0.0,36.448162,-97.056015
1344,0.0,35.301889,-98.027222
1017,0.0,35.688685,-97.315375
687,0.0,35.688685,-97.315375
1314,0.0,35.688685,-97.315375
1315,0.0,35.688685,-97.315375
1316,0.0,35.688685,-97.315375
1028,0.0,35.688685,-97.315375
1172,0.0,35.688685,-97.315375
1035,0.0,35.544878,-97.593006
975,2.0,35.716451,-95.468915
1023,2.0,35.716451,-95.468915
1183,2.0,35.716451,-95.468915
327,2.0,35.716451,-95.468915
1425,2.0,35.716451,-95.468915
1065,2.0,35.716451,-95.468915
1417,2.0,35.716451,-95.468915
1415,2.0,35.716451,-95.468915
644,0.0,35.688685,-97.315375
784,0.0,35.688685,-97.315375
326,2.0,35.763556,-95.295769
391,2.0,35.763556,-95.295769
1649,3.0,36.783836,-98.64937
1385,2.0,35.757305,-95.287697
1305,0.0,34.185779,-97.241384
1048,0.0,36.375125,-99.369939
89,1.0,35.477991,-93.512197
1201,1.0,35.477991,-93.512197
1385,0.0,34.965866,-96.732353
89,1.0,35.496535,-93.846123
1336,1.0,35.496535,-93.846123
1432,0.0,35.912455,-97.604357
1431,0.0,35.912455,-97.604357
1198,1.0,35.430441,-93.574552
1202,1.0,35.430441,-93.574552
1201,1.0,35.430441,-93.574552
495,0.0,35.512135,-97.184753
1546,0.0,36.311989,-99.367958
1545,0.0,36.311989,-99.367958
1576,0.0,36.311989,-99.367958
80,0.0,35.245444,-96.672538
150,0.0,35.245444,-96.672538
1446,0.0,36.816162,-97.263773
80,0.0,35.131121,-96.808123
1051,0.0,35.509884,-97.564282
574,0.0,35.509884,-97.564282
1414,0.0,35.47128,-97.527319
1287,0.0,34.629461,-97.159299
1380,0.0,34.629461,-97.159299
1361,0.0,35.573068,-97.638928
1362,0.0,35.573068,-97.638928
1363,0.0,35.573068,-97.638928
1045,0.0,35.299444,-97.590278
348,1.0,35.306831,-93.910844
1200,1.0,35.472111,-94.338142
1200,1.0,35.306831,-93.910844
1198,1.0,35.306831,-93.910844
1199,1.0,35.306831,-93.910844
1230,0.0,34.013756,-96.732175
1460,0.0,34.013756,-96.732175
1514,0.0,36.781338,-97.763061
1439,0.0,36.781338,-97.763061
1467,0.0,36.781338,-97.763061
1576,-1.0,35.200268,-99.929321
1542,-1.0,35.200268,-99.929321
1452,0.0,34.396126,-97.406921
1454,0.0,34.396126,-97.406921
1455,0.0,34.396126,-97.406921
1453,0.0,34.396126,-97.406921
285,0.0,35.381219,-97.475844
324,0.0,35.381219,-97.475844
1662,0.0,36.311989,-99.367958
1663,0.0,36.311989,-99.367958
1365,0.0,35.470226,-97.489831
1366,0.0,35.470226,-97.489831
1471,4.0,36.525574,-100.949749
1469,4.0,36.525574,-100.949749
1544,4.0,36.525574,-100.949749
1545,4.0,36.525574,-100.949749
1473,4.0,36.525574,-100.949749
1472,4.0,36.525574,-100.949749
1433,0.0,36.86794,-97.674343
1607,0.0,36.86794,-97.674343
1609,0.0,36.86794,-97.674343
1514,0.0,36.86794,-97.674343
1436,0.0,36.86794,-97.674343
988,0.0,35.174284,-97.446533
1225,0.0,35.580652,-97.011042
1639,0.0,35.580652,-97.011042
1224,0.0,35.580652,-97.011042
1039,0.0,35.274273,-97.510947
1039,0.0,35.271307,-97.458093
993,0.0,35.271307,-97.458093
324,0.0,35.271307,-97.458093
993,0.0,35.332302,-97.329193
1625,1.0,35.326529,-94.324359
1464,0.0,35.931114,-98.753586
1618,0.0,35.931114,-98.753586
1494,0.0,36.817172,-97.125622
1486,0.0,36.817172,-97.125622
1484,0.0,36.817172,-97.125622
1475,0.0,35.63643,-97.64549
1441,0.0,36.816162,-97.263773
1441,0.0,36.824205,-97.336935
1610,0.0,36.824205,-97.336935
1026,1.0,35.472111,-94.338142
1341,1.0,35.472111,-94.338142
236,0.0,34.16701,-97.127275
1046,0.0,35.381219,-97.475844
338,0.0,34.16701,-97.127275
575,0.0,34.16701,-97.127275
1339,1.0,35.357875,-94.334808
1626,1.0,35.357875,-94.334808
1026,1.0,35.357875,-94.334808
1000,1.0,35.357875,-94.334808
236,0.0,34.200739,-97.135611
487,0.0,34.200739,-97.135611
0,0.0,35.465182,-97.674757
0,0.0,35.468421,-97.652271
0,0.0,35.468421,-97.652271
907,0.0,36.436388,-99.229146
1048,0.0,36.436388,-99.229146
726,0.0,36.436388,-99.229146
1571,0.0,34.086351,-96.495782
1458,0.0,36.406359,-97.760158
1457,0.0,36.406359,-97.760158
1492,0.0,36.406359,-97.760158
1493,0.0,36.406359,-97.760158
1459,0.0,36.406359,-97.760158
979,0.0,35.978625,-96.623694
1352,0.0,35.978625,-96.623694
1496,0.0,36.982834,-97.130699
1495,0.0,36.982834,-97.130699
1494,0.0,36.982834,-97.130699
1565,2.0,35.763556,-95.295769
0,0.0,35.477893,-97.676568
0,0.0,35.477893,-97.676568
644,0.0,35.85509,-97.43508
1432,0.0,35.85509,-97.43508
350,0.0,35.85509,-97.43508
1505,0.0,34.387947,-97.136047
1506,0.0,34.387947,-97.136047
1507,0.0,34.387947,-97.136047
1498,0.0,35.72809,-97.79238
1619,0.0,35.72809,-97.79238
1492,0.0,36.38186,-97.755355
1509,0.0,36.38186,-97.755355
1509,0.0,36.375223,-97.757184
1512,0.0,36.375223,-97.757184
1525,0.0,36.86794,-97.674343
1606,0.0,35.72809,-97.79238
90,1.0,34.987263,-94.629486
807,1.0,34.987263,-94.629486
1526,0.0,34.808629,-97.214058
1512,0.0,36.371235,-97.874743
1030,0.0,34.195091,-97.101069
487,0.0,34.195091,-97.101069
1500,0.0,35.72809,-97.79238
1501,0.0,35.72809,-97.79238
1501,0.0,35.511567,-97.792975
1452,0.0,34.462188,-97.501323
1527,0.0,34.462188,-97.501323
338,0.0,34.195093,-97.101066
80,0.0,35.246743,-96.95289
1429,0.0,35.131122,-96.808119
1518,0.0,34.680375,-96.476432
1074,0.0,34.680375,-96.476432
1526,0.0,34.607971,-97.448431
1527,0.0,34.607971,-97.448431
1534,0.0,35.842412,-98.329956
275,0.0,36.254091,-97.28205
1646,0.0,36.311989,-99.367958
186,0.0,34.770376,-96.70694
768,0.0,34.770376,-96.70694
1517,0.0,34.770376,-96.70694
1099,0.0,34.770376,-96.70694
1100,0.0,34.770376,-96.70694
1517,0.0,34.75216,-96.65144
1518,0.0,34.75216,-96.65144
1351,0.0,35.817293,-96.381692
1415,0.0,35.817293,-96.381692
1566,2.0,35.508206,-95.305725
1678,2.0,35.508206,-95.305725
1565,2.0,35.508206,-95.305725
1560,0.0,36.817172,-97.125622
496,2.0,35.725025,-95.396675
1675,2.0,35.725025,-95.396675
1566,2.0,35.725025,-95.396675
1544,4.0,36.508008,-100.575642
1545,4.0,36.508008,-100.575642
1546,4.0,36.508008,-100.575642
1547,4.0,36.508008,-100.575642
1548,4.0,36.508008,-100.575642
0,0.0,36.375125,-99.369939
0,0.0,36.375125,-99.369939
1445,0.0,35.1311218689,-96.8081188095
520,0.0,35.1311218689,-96.8081188095
1288,0.0,34.808629,-97.214058
1371,0.0,36.8161619802,-97.2637727806
1533,0.0,35.842412,-98.329956
1561,0.0,35.842412,-98.329956
1580,0.0,35.7108416429,-97.0167960138
1639,0.0,35.7108416429,-97.0167960138
1582,0.0,35.7108416429,-97.0167960138
1630,1.0,35.3,-94.43031
0,0.0,36.446989,-97.056495
0,0.0,35.114244,-98.279825
0,0.0,36.316515,-97.581156
0,0.0,36.316515,-97.581156
773,0.0,35.462063,-97.440055
0,0.0,33.983375,-96.348543
990,0.0,35.462063,-97.440055
1599,0.0,35.46857,-97.675627
0,0.0,35.46857,-97.675627
0,0.0,35.46857,-97.675627
0,0.0,35.46857,-97.675627
1053,0.0,35.5270934788,-97.5930126661
416,0.0,35.5270934788,-97.5930126661
679,0.0,35.5957023513,-97.5051118167
679,0.0,35.6679059812,-97.4509989628
1455,0.0,34.1862211972,-97.5127718362
1428,0.0,35.2454435258,-96.6725379584
1338,0.0,35.5318247365,-97.9457227504
1051,0.0,35.4685698097,-97.6756272891
616,0.0,35.4685698097,-97.6756272891
1621,0.0,36.311989,-99.367958
1503,0.0,35.931114,-98.753586
1503,0.0,35.72809,-97.79238
1621,0.0,35.931114,-98.753586
1232,0.0,34.013755,-96.732176
1623,0.0,36.08833,-96.99655
1591,0.0,36.08833,-96.99655
1610,0.0,36.819298,-97.456986
1609,0.0,36.819298,-97.456986
1611,0.0,36.819298,-97.456986
1622,0.0,36.08833,-96.99655
1530,0.0,35.421312,-97.375056
1531,0.0,35.421312,-97.375056
1604,0.0,36.051987,-97.789102
1605,0.0,36.051987,-97.789102
1606,0.0,36.051987,-97.789102
1178,0.0,36.375125,-99.369939
479,0.0,35.4141624194,-97.3723654896
1531,0.0,35.4141624194,-97.3723654896
1590,0.0,35.884711,-96.974886
1591,0.0,35.884711,-96.974886
1582,0.0,35.884711,-96.974886
1640,0.0,36.824205,-97.336935
1288,0.0,34.6294620775,-97.1592954732
1540,0.0,36.0144848928,-96.7465102089
1396,0.0,36.0144848928,-96.7465102089
1622,0.0,36.0144848928,-96.7465102089
579,0.0,34.1862211972,-97.5127718362
1197,-1.0,-97.5057215127,35.6681702008
1638,0.0,35.580652,-97.011042
571,0.0,35.462063311,-97.4400546095
807,1.0,35.1147510822,-94.6299661608
375,0.0,36.375125,-99.369939
285,0.0,35.398033,-97.395036
1381,0.0,36.106986,-97.90731
428,0.0,36.13009,-97.080957
1528,0.0,34.607971,-97.448431
771,0.0,34.462189,-97.501319
1623,0.0,36.132162,-97.051307
1397,0.0,36.0144848928,-96.7465102089
1490,0.0,34.808629,-97.214058
174,0.0,35.5286730817,-97.5388757093
1529,0.0,36.8161636829,-97.2637690471
1592,0.0,35.4712804095,-97.5273188262
1425,2.0,35.7250247025,-95.3966746505
1568,0.0,34.0078704917,-96.3955322894
1541,-1.0,35.200268,-99.929321
1592,0.0,35.4555955,-97.510015
1593,0.0,35.4555955,-97.510015
71,0.0,34.808629,-97.214058
1232,0.0,34.187324,-96.792277
1186,0.0,35.4411247137,-97.4603642921
1391,0.0,36.311989,-99.367958
1648,3.0,36.756869,-98.807194
1664,3.0,36.756869,-98.807194
1665,3.0,36.756869,-98.807194
1662,3.0,36.756869,-98.807194
1663,3.0,36.756869,-98.807194
1661,3.0,36.756869,-98.807194
1653,0.0,36.318888,-97.586925
1651,0.0,36.318888,-97.586925
1652,0.0,36.318888,-97.586925
0,0.0,36.318888,-97.586925
0,0.0,36.318888,-97.586925
1568,0.0,33.968209,-96.425862
1569,0.0,33.968209,-96.425862
1567,0.0,33.968209,-96.425862
526,0.0,35.211694,-97.47615
1571,0.0,34.013755,-96.732176
1055,0.0,35.332302,-97.329193
552,0.0,35.332302,-97.329193
281,0.0,35.332302,-97.329193
201,0.0,35.332302,-97.329193
812,0.0,35.332302,-97.329193
479,0.0,35.332302,-97.329193
1575,0.0,35.68676,-97.226933
1575,0.0,35.688685,-97.315375
1647,3.0,36.783837,-98.649367
606,0.0,36.660118,-97.118585
1446,0.0,36.660118,-97.118585
1420,0.0,35.131122,-96.808119
1335,1.0,35.496535,-93.846123
790,0.0,35.381219,-97.475844
571,0.0,35.429515,-97.440704
1725,0.0,34.313,-96.781
1723,0.0,36.39912,-97.473735
1722,0.0,36.39912,-97.473735
1721,0.0,36.39912,-97.473735
1727,4.0,36.508008,-100.575642
1735,0.0,36.3912076609,-98.4267052513
354,0.0,36.0144848928,-96.7465102089
1730,0.0,35.479453,-97.51094
1731,0.0,35.479453,-97.51094
201,0.0,35.3980334611,-97.3950356683
1040,0.0,35.2713069519,-97.4580933944
0,0.0,34.4779188746,-97.1039416383
820,0.0,35.6388534163,-97.5909829171
1676,2.0,35.74284,-95.304165
1435,0.0,36.86794,-97.674343
1643,0.0,34.6803754004,-96.4764318786
1729,0.0,35.72809,-97.79238
1560,0.0,36.817172,-97.125622
1705,0.0,36.330853,-97.789524
